short line: Testbench for P8AX32

Opcode RDBYTE not found on both tests
Opcode RDWORD not found on both tests
Opcode RDLONG not found on both tests
Opcode HUBOP not found on both tests
Opcode UNDEF0 not found on both tests
Opcode UNDEF1 not found on both tests
Opcode UNDEF2 not found on both tests
Opcode UNDEF3 not found on both tests
SUMNZ 7fffffff 00000000 00 00000000 7fffffff 10 00
SUMNZ 7fffffff 00000000 10 00000000 7fffffff 10 00
SUMNZ 7fffffff 00000000 01 00000000 7fffffff 10 00
SUMNZ 7fffffff 00000000 11 00000000 7fffffff 10 00
SUMNZ 80000000 00000000 00 00000000 80000000 10 00
SUMNZ 80000000 00000000 10 00000000 80000000 10 00
SUMNZ 80000000 00000000 01 00000000 80000000 10 00
SUMNZ 80000000 00000000 11 00000000 80000000 10 00
SUMNZ 80000001 00000000 00 00000000 80000001 10 00
SUMNZ 80000001 00000000 10 00000000 80000001 10 00
SUMNZ 80000001 00000000 01 00000000 80000001 10 00
SUMNZ 80000001 00000000 11 00000000 80000001 10 00
SUMNZ fffffffe 00000000 00 00000000 fffffffe 10 00
SUMNZ fffffffe 00000000 10 00000000 fffffffe 10 00
SUMNZ fffffffe 00000000 01 00000000 fffffffe 10 00
SUMNZ fffffffe 00000000 11 00000000 fffffffe 10 00
SUMNZ ffffffff 00000000 00 00000000 ffffffff 10 00
SUMNZ ffffffff 00000000 10 00000000 ffffffff 10 00
SUMNZ ffffffff 00000000 01 00000000 ffffffff 10 00
SUMNZ ffffffff 00000000 11 00000000 ffffffff 10 00
SUMNZ 00000000 00000001 00 00000001 ffffffff 00 00
SUMNZ 00000000 00000001 01 00000001 ffffffff 00 00
SUMNZ 00000001 00000001 00 00000001 00000000 00 10
SUMNZ 00000001 00000001 10 00000001 00000002 00 00
SUMNZ 00000001 00000001 01 00000001 00000000 00 10
SUMNZ 00000001 00000001 11 00000001 00000002 00 00
SUMNZ 00000002 00000001 10 00000001 00000003 00 00
SUMNZ 00000002 00000001 11 00000001 00000003 00 00
SUMNZ 7fffffff 00000001 00 00000001 7ffffffe 00 00
SUMNZ 7fffffff 00000001 10 00000001 80000000 01 01
