ROR   ---Q---- CZ
e5 1f 00000000 01
e6 1f ffffffff 00
e7 1f 00000000 01
e8 1f ffffffff 00
e9 1f 00000000 01
ea 1f ffffffff 00
eb 1f 00000000 01
ec 1f ffffffff 00
ed 1f 00000000 01
ee 1f ffffffff 00
ef 1f 00000000 01
f0 1f ffffffff 00
f1 1f 00000000 01
f2 1f ffffffff 00
f3 1f 00000000 01
f4 1f ffffffff 00
f5 1f 00000000 01
f6 1f ffffffff 00
f7 1f 00000000 01
f8 1f ffffffff 00
f9 1f 00000000 01
fa 1f ffffffff 00
fb 1f 00000000 01
fc 1f ffffffff 00
fd 1f 00000000 01
fe 1f ffffffff 00
ff 1f 00000000 01
ADD   ---Q---- CZ
00 20 00000000 01
01 20 00000000 01
02 20 00000000 01
03 20 00000000 01
04 20 00000001 00
05 20 00000001 00
06 20 00000001 00
07 20 00000001 00
08 20 00000002 00
09 20 00000002 00
0a 20 00000002 00
0b 20 00000002 00
0c 20 7fffffff 00
0d 20 7fffffff 00
0e 20 7fffffff 00
0f 20 7fffffff 00
10 20 80000000 00
11 20 80000000 00
12 20 80000000 00
13 20 80000000 00
14 20 80000001 00
15 20 80000001 00
16 20 80000001 00
17 20 80000001 00
18 20 fffffffe 00
19 20 fffffffe 00
1a 20 fffffffe 00
1b 20 fffffffe 00
1c 20 ffffffff 00
1d 20 ffffffff 00
1e 20 ffffffff 00
1f 20 ffffffff 00
20 20 00000001 00
21 20 00000001 00
22 20 00000001 00
23 20 00000001 00
24 20 00000002 00
25 20 00000002 00
26 20 00000002 00
27 20 00000002 00
28 20 00000003 00
29 20 00000003 00
2a 20 00000003 00
2b 20 00000003 00
2c 20 80000000 00
2d 20 80000000 00
2e 20 80000000 00
2f 20 80000000 00
30 20 80000001 00
31 20 80000001 00
32 20 80000001 00
33 20 80000001 00
34 20 80000002 00
35 20 80000002 00
36 20 80000002 00
37 20 80000002 00
38 20 ffffffff 00
39 20 ffffffff 00
3a 20 ffffffff 00
3b 20 ffffffff 00
3c 20 00000000 11
3d 20 00000000 11
3e 20 00000000 11
3f 20 00000000 11
40 20 00000002 00
41 20 00000002 00
42 20 00000002 00
43 20 00000002 00
44 20 00000003 00
45 20 00000003 00
46 20 00000003 00
47 20 00000003 00
48 20 00000004 00
49 20 00000004 00
4a 20 00000004 00
4b 20 00000004 00
4c 20 80000001 00
4d 20 80000001 00
4e 20 80000001 00
4f 20 80000001 00
50 20 80000002 00
51 20 80000002 00
52 20 80000002 00
53 20 80000002 00
54 20 80000003 00
55 20 80000003 00
56 20 80000003 00
57 20 80000003 00
58 20 00000000 11
59 20 00000000 11
5a 20 00000000 11
5b 20 00000000 11
5c 20 00000001 10
5d 20 00000001 10
5e 20 00000001 10
5f 20 00000001 10
60 20 7fffffff 00
61 20 7fffffff 00
62 20 7fffffff 00
63 20 7fffffff 00
64 20 80000000 00
65 20 80000000 00
66 20 80000000 00
67 20 80000000 00
68 20 80000001 00
69 20 80000001 00
6a 20 80000001 00
6b 20 80000001 00
6c 20 fffffffe 00
6d 20 fffffffe 00
6e 20 fffffffe 00
6f 20 fffffffe 00
70 20 ffffffff 00
71 20 ffffffff 00
72 20 ffffffff 00
73 20 ffffffff 00
74 20 00000000 11
75 20 00000000 11
76 20 00000000 11
77 20 00000000 11
78 20 7ffffffd 10
79 20 7ffffffd 10
7a 20 7ffffffd 10
7b 20 7ffffffd 10
7c 20 7ffffffe 10
7d 20 7ffffffe 10
7e 20 7ffffffe 10
7f 20 7ffffffe 10
80 20 80000000 00
81 20 80000000 00
82 20 80000000 00
83 20 80000000 00
84 20 80000001 00
85 20 80000001 00
86 20 80000001 00
87 20 80000001 00
88 20 80000002 00
89 20 80000002 00
8a 20 80000002 00
8b 20 80000002 00
8c 20 ffffffff 00
8d 20 ffffffff 00
8e 20 ffffffff 00
8f 20 ffffffff 00
90 20 00000000 11
91 20 00000000 11
92 20 00000000 11
93 20 00000000 11
94 20 00000001 10
95 20 00000001 10
96 20 00000001 10
97 20 00000001 10
98 20 7ffffffe 10
99 20 7ffffffe 10
9a 20 7ffffffe 10
9b 20 7ffffffe 10
9c 20 7fffffff 10
9d 20 7fffffff 10
9e 20 7fffffff 10
9f 20 7fffffff 10
a0 20 80000001 00
a1 20 80000001 00
a2 20 80000001 00
a3 20 80000001 00
a4 20 80000002 00
a5 20 80000002 00
a6 20 80000002 00
a7 20 80000002 00
a8 20 80000003 00
a9 20 80000003 00
aa 20 80000003 00
ab 20 80000003 00
ac 20 00000000 11
ad 20 00000000 11
ae 20 00000000 11
af 20 00000000 11
b0 20 00000001 10
b1 20 00000001 10
b2 20 00000001 10
b3 20 00000001 10
b4 20 00000002 10
b5 20 00000002 10
b6 20 00000002 10
b7 20 00000002 10
b8 20 7fffffff 10
b9 20 7fffffff 10
ba 20 7fffffff 10
bb 20 7fffffff 10
bc 20 80000000 10
bd 20 80000000 10
be 20 80000000 10
bf 20 80000000 10
c0 20 fffffffe 00
c1 20 fffffffe 00
c2 20 fffffffe 00
c3 20 fffffffe 00
c4 20 ffffffff 00
c5 20 ffffffff 00
c6 20 ffffffff 00
c7 20 ffffffff 00
c8 20 00000000 11
c9 20 00000000 11
ca 20 00000000 11
cb 20 00000000 11
cc 20 7ffffffd 10
cd 20 7ffffffd 10
ce 20 7ffffffd 10
cf 20 7ffffffd 10
d0 20 7ffffffe 10
d1 20 7ffffffe 10
d2 20 7ffffffe 10
d3 20 7ffffffe 10
d4 20 7fffffff 10
d5 20 7fffffff 10
d6 20 7fffffff 10
d7 20 7fffffff 10
d8 20 fffffffc 10
d9 20 fffffffc 10
da 20 fffffffc 10
db 20 fffffffc 10
dc 20 fffffffd 10
dd 20 fffffffd 10
de 20 fffffffd 10
df 20 fffffffd 10
e0 20 ffffffff 00
e1 20 ffffffff 00
e2 20 ffffffff 00
e3 20 ffffffff 00
e4 20 00000000 11
e5 20 00000000 11
e6 20 00000000 11
e7 20 00000000 11
e8 20 00000001 10
e9 20 00000001 10
ea 20 00000001 10
eb 20 00000001 10
ec 20 7ffffffe 10
ed 20 7ffffffe 10
ee 20 7ffffffe 10
ef 20 7ffffffe 10
f0 20 7fffffff 10
f1 20 7fffffff 10
f2 20 7fffffff 10
f3 20 7fffffff 10
f4 20 80000000 10
f5 20 80000000 10
f6 20 80000000 10
f7 20 80000000 10
f8 20 fffffffd 10
f9 20 fffffffd 10
fa 20 fffffffd 10
fb 20 fffffffd 10
fc 20 fffffffe 10
fd 20 fffffffe 10
fe 20 fffffffe 10
ff 20 fffffffe 10
SUB   ---Q---- CZ
00 21 00000000 01
01 21 00000000 01
02 21 00000000 01
03 21 00000000 01
04 21 00000001 00
05 21 00000001 00
06 21 00000001 00
07 21 00000001 00
08 21 00000002 00
09 21 00000002 00
0a 21 00000002 00
0b 21 00000002 00
0c 21 7fffffff 00
0d 21 7fffffff 00
0e 21 7fffffff 00
0f 21 7fffffff 00
10 21 80000000 00
11 21 80000000 00
12 21 80000000 00
13 21 80000000 00
14 21 80000001 00
15 21 80000001 00
16 21 80000001 00
17 21 80000001 00
18 21 fffffffe 00
19 21 fffffffe 00
1a 21 fffffffe 00
1b 21 fffffffe 00
1c 21 ffffffff 00
1d 21 ffffffff 00
1e 21 ffffffff 00
1f 21 ffffffff 00
20 21 ffffffff 10
21 21 ffffffff 10
22 21 ffffffff 10
23 21 ffffffff 10
24 21 00000000 01
25 21 00000000 01
26 21 00000000 01
27 21 00000000 01
28 21 00000001 00
29 21 00000001 00
2a 21 00000001 00
2b 21 00000001 00
2c 21 7ffffffe 00
2d 21 7ffffffe 00
2e 21 7ffffffe 00
2f 21 7ffffffe 00
30 21 7fffffff 00
31 21 7fffffff 00
32 21 7fffffff 00
33 21 7fffffff 00
34 21 80000000 00
35 21 80000000 00
36 21 80000000 00
37 21 80000000 00
38 21 fffffffd 00
39 21 fffffffd 00
3a 21 fffffffd 00
3b 21 fffffffd 00
3c 21 fffffffe 00
3d 21 fffffffe 00
3e 21 fffffffe 00
3f 21 fffffffe 00
40 21 fffffffe 10
41 21 fffffffe 10
42 21 fffffffe 10
43 21 fffffffe 10
44 21 ffffffff 10
45 21 ffffffff 10
46 21 ffffffff 10
47 21 ffffffff 10
48 21 00000000 01
49 21 00000000 01
4a 21 00000000 01
4b 21 00000000 01
4c 21 7ffffffd 00
4d 21 7ffffffd 00
4e 21 7ffffffd 00
4f 21 7ffffffd 00
50 21 7ffffffe 00
51 21 7ffffffe 00
52 21 7ffffffe 00
53 21 7ffffffe 00
54 21 7fffffff 00
55 21 7fffffff 00
56 21 7fffffff 00
57 21 7fffffff 00
58 21 fffffffc 00
59 21 fffffffc 00
5a 21 fffffffc 00
5b 21 fffffffc 00
5c 21 fffffffd 00
5d 21 fffffffd 00
5e 21 fffffffd 00
5f 21 fffffffd 00
60 21 80000001 10
61 21 80000001 10
62 21 80000001 10
63 21 80000001 10
64 21 80000002 10
65 21 80000002 10
66 21 80000002 10
67 21 80000002 10
68 21 80000003 10
69 21 80000003 10
6a 21 80000003 10
6b 21 80000003 10
6c 21 00000000 01
6d 21 00000000 01
6e 21 00000000 01
6f 21 00000000 01
70 21 00000001 00
71 21 00000001 00
72 21 00000001 00
73 21 00000001 00
74 21 00000002 00
75 21 00000002 00
76 21 00000002 00
77 21 00000002 00
78 21 7fffffff 00
79 21 7fffffff 00
7a 21 7fffffff 00
7b 21 7fffffff 00
7c 21 80000000 00
7d 21 80000000 00
7e 21 80000000 00
7f 21 80000000 00
80 21 80000000 10
81 21 80000000 10
82 21 80000000 10
83 21 80000000 10
84 21 80000001 10
85 21 80000001 10
86 21 80000001 10
87 21 80000001 10
88 21 80000002 10
89 21 80000002 10
8a 21 80000002 10
8b 21 80000002 10
8c 21 ffffffff 10
8d 21 ffffffff 10
8e 21 ffffffff 10
8f 21 ffffffff 10
90 21 00000000 01
91 21 00000000 01
92 21 00000000 01
93 21 00000000 01
94 21 00000001 00
95 21 00000001 00
96 21 00000001 00
97 21 00000001 00
98 21 7ffffffe 00
99 21 7ffffffe 00
9a 21 7ffffffe 00
9b 21 7ffffffe 00
9c 21 7fffffff 00
9d 21 7fffffff 00
9e 21 7fffffff 00
9f 21 7fffffff 00
a0 21 7fffffff 10
a1 21 7fffffff 10
a2 21 7fffffff 10
a3 21 7fffffff 10
a4 21 80000000 10
a5 21 80000000 10
a6 21 80000000 10
a7 21 80000000 10
a8 21 80000001 10
a9 21 80000001 10
aa 21 80000001 10
ab 21 80000001 10
ac 21 fffffffe 10
ad 21 fffffffe 10
ae 21 fffffffe 10
af 21 fffffffe 10
b0 21 ffffffff 10
b1 21 ffffffff 10
b2 21 ffffffff 10
b3 21 ffffffff 10
b4 21 00000000 01
b5 21 00000000 01
b6 21 00000000 01
b7 21 00000000 01
b8 21 7ffffffd 00
b9 21 7ffffffd 00
ba 21 7ffffffd 00
bb 21 7ffffffd 00
bc 21 7ffffffe 00
bd 21 7ffffffe 00
be 21 7ffffffe 00
bf 21 7ffffffe 00
c0 21 00000002 10
c1 21 00000002 10
c2 21 00000002 10
c3 21 00000002 10
c4 21 00000003 10
c5 21 00000003 10
c6 21 00000003 10
c7 21 00000003 10
c8 21 00000004 10
c9 21 00000004 10
ca 21 00000004 10
cb 21 00000004 10
cc 21 80000001 10
cd 21 80000001 10
ce 21 80000001 10
cf 21 80000001 10
d0 21 80000002 10
d1 21 80000002 10
d2 21 80000002 10
d3 21 80000002 10
d4 21 80000003 10
d5 21 80000003 10
d6 21 80000003 10
d7 21 80000003 10
d8 21 00000000 01
d9 21 00000000 01
da 21 00000000 01
db 21 00000000 01
dc 21 00000001 00
dd 21 00000001 00
de 21 00000001 00
df 21 00000001 00
e0 21 00000001 10
e1 21 00000001 10
e2 21 00000001 10
e3 21 00000001 10
e4 21 00000002 10
e5 21 00000002 10
e6 21 00000002 10
e7 21 00000002 10
e8 21 00000003 10
e9 21 00000003 10
ea 21 00000003 10
eb 21 00000003 10
ec 21 80000000 10
ed 21 80000000 10
ee 21 80000000 10
ef 21 80000000 10
f0 21 80000001 10
f1 21 80000001 10
f2 21 80000001 10
f3 21 80000001 10
f4 21 80000002 10
f5 21 80000002 10
f6 21 80000002 10
f7 21 80000002 10
f8 21 ffffffff 10
f9 21 ffffffff 10
fa 21 ffffffff 10
fb 21 ffffffff 10
fc 21 00000000 01
fd 21 00000000 01
fe 21 00000000 01
ff 21 00000000 01
ADDABS---Q---- CZ
00 22 00000000 01
01 22 00000000 01
02 22 00000000 01
03 22 00000000 01
04 22 00000001 00
05 22 00000001 00
06 22 00000001 00
07 22 00000001 00
08 22 00000002 00
09 22 00000002 00
0a 22 00000002 00
0b 22 00000002 00
0c 22 7fffffff 00
0d 22 7fffffff 00
0e 22 7fffffff 00
0f 22 7fffffff 00
10 22 80000000 00
11 22 80000000 00
12 22 80000000 00
13 22 80000000 00
14 22 80000001 00
15 22 80000001 00
16 22 80000001 00
17 22 80000001 00
18 22 fffffffe 00
19 22 fffffffe 00
1a 22 fffffffe 00
1b 22 fffffffe 00
1c 22 ffffffff 00
1d 22 ffffffff 00
1e 22 ffffffff 00
1f 22 ffffffff 00
20 22 00000001 00
21 22 00000001 00
22 22 00000001 00
23 22 00000001 00
24 22 00000002 00
25 22 00000002 00
26 22 00000002 00
27 22 00000002 00
28 22 00000003 00
29 22 00000003 00
2a 22 00000003 00
2b 22 00000003 00
2c 22 80000000 00
2d 22 80000000 00
2e 22 80000000 00
2f 22 80000000 00
30 22 80000001 00
31 22 80000001 00
32 22 80000001 00
33 22 80000001 00
34 22 80000002 00
35 22 80000002 00
36 22 80000002 00
37 22 80000002 00
38 22 ffffffff 00
39 22 ffffffff 00
3a 22 ffffffff 00
3b 22 ffffffff 00
3c 22 00000000 11
3d 22 00000000 11
3e 22 00000000 11
3f 22 00000000 11
40 22 00000002 00
41 22 00000002 00
42 22 00000002 00
43 22 00000002 00
44 22 00000003 00
45 22 00000003 00
46 22 00000003 00
47 22 00000003 00
48 22 00000004 00
49 22 00000004 00
4a 22 00000004 00
4b 22 00000004 00
4c 22 80000001 00
4d 22 80000001 00
4e 22 80000001 00
4f 22 80000001 00
50 22 80000002 00
51 22 80000002 00
52 22 80000002 00
53 22 80000002 00
54 22 80000003 00
55 22 80000003 00
56 22 80000003 00
57 22 80000003 00
58 22 00000000 11
59 22 00000000 11
5a 22 00000000 11
5b 22 00000000 11
5c 22 00000001 10
5d 22 00000001 10
5e 22 00000001 10
5f 22 00000001 10
60 22 7fffffff 00
61 22 7fffffff 00
62 22 7fffffff 00
63 22 7fffffff 00
64 22 80000000 00
65 22 80000000 00
66 22 80000000 00
67 22 80000000 00
68 22 80000001 00
69 22 80000001 00
6a 22 80000001 00
6b 22 80000001 00
6c 22 fffffffe 00
6d 22 fffffffe 00
6e 22 fffffffe 00
6f 22 fffffffe 00
70 22 ffffffff 00
71 22 ffffffff 00
72 22 ffffffff 00
73 22 ffffffff 00
74 22 00000000 11
75 22 00000000 11
76 22 00000000 11
77 22 00000000 11
78 22 7ffffffd 10
79 22 7ffffffd 10
7a 22 7ffffffd 10
7b 22 7ffffffd 10
7c 22 7ffffffe 10
7d 22 7ffffffe 10
7e 22 7ffffffe 10
7f 22 7ffffffe 10
80 22 80000000 10
81 22 80000000 10
82 22 80000000 10
83 22 80000000 10
84 22 80000001 10
85 22 80000001 10
86 22 80000001 10
87 22 80000001 10
88 22 80000002 10
89 22 80000002 10
8a 22 80000002 10
8b 22 80000002 10
8c 22 ffffffff 10
8d 22 ffffffff 10
8e 22 ffffffff 10
8f 22 ffffffff 10
90 22 00000000 01
91 22 00000000 01
92 22 00000000 01
93 22 00000000 01
94 22 00000001 00
95 22 00000001 00
96 22 00000001 00
97 22 00000001 00
98 22 7ffffffe 00
99 22 7ffffffe 00
9a 22 7ffffffe 00
9b 22 7ffffffe 00
9c 22 7fffffff 00
9d 22 7fffffff 00
9e 22 7fffffff 00
9f 22 7fffffff 00
a0 22 7fffffff 10
a1 22 7fffffff 10
a2 22 7fffffff 10
a3 22 7fffffff 10
a4 22 80000000 10
a5 22 80000000 10
a6 22 80000000 10
a7 22 80000000 10
a8 22 80000001 10
a9 22 80000001 10
aa 22 80000001 10
ab 22 80000001 10
ac 22 fffffffe 10
ad 22 fffffffe 10
ae 22 fffffffe 10
af 22 fffffffe 10
b0 22 ffffffff 10
b1 22 ffffffff 10
b2 22 ffffffff 10
b3 22 ffffffff 10
b4 22 00000000 01
b5 22 00000000 01
b6 22 00000000 01
b7 22 00000000 01
b8 22 7ffffffd 00
b9 22 7ffffffd 00
ba 22 7ffffffd 00
bb 22 7ffffffd 00
bc 22 7ffffffe 00
bd 22 7ffffffe 00
be 22 7ffffffe 00
bf 22 7ffffffe 00
c0 22 00000002 10
c1 22 00000002 10
c2 22 00000002 10
c3 22 00000002 10
c4 22 00000003 10
c5 22 00000003 10
c6 22 00000003 10
c7 22 00000003 10
c8 22 00000004 10
c9 22 00000004 10
ca 22 00000004 10
cb 22 00000004 10
cc 22 80000001 10
cd 22 80000001 10
ce 22 80000001 10
cf 22 80000001 10
d0 22 80000002 10
d1 22 80000002 10
d2 22 80000002 10
d3 22 80000002 10
d4 22 80000003 10
d5 22 80000003 10
d6 22 80000003 10
d7 22 80000003 10
d8 22 00000000 01
d9 22 00000000 01
da 22 00000000 01
db 22 00000000 01
dc 22 00000001 00
dd 22 00000001 00
de 22 00000001 00
df 22 00000001 00
e0 22 00000001 10
e1 22 00000001 10
e2 22 00000001 10
e3 22 00000001 10
e4 22 00000002 10
e5 22 00000002 10
e6 22 00000002 10
e7 22 00000002 10
e8 22 00000003 10
e9 22 00000003 10
ea 22 00000003 10
eb 22 00000003 10
ec 22 80000000 10
ed 22 80000000 10
ee 22 80000000 10
ef 22 80000000 10
f0 22 80000001 10
f1 22 80000001 10
f2 22 80000001 10
f3 22 80000001 10
f4 22 80000002 10
f5 22 80000002 10
f6 22 80000002 10
f7 22 80000002 10
f8 22 ffffffff 10
f9 22 ffffffff 10
fa 22 ffffffff 10
fb 22 ffffffff 10
fc 22 00000000 01
fd 22 00000000 01
fe 22 00000000 01
ff 22 00000000 01
SUBABS---Q---- CZ
00 23 00000000 01
01 23 00000000 01
02 23 00000000 01
03 23 00000000 01
04 23 00000001 00
05 23 00000001 00
06 23 00000001 00
07 23 00000001 00
08 23 00000002 00
09 23 00000002 00
0a 23 00000002 00
0b 23 00000002 00
0c 23 7fffffff 00
0d 23 7fffffff 00
0e 23 7fffffff 00
0f 23 7fffffff 00
10 23 80000000 00
11 23 80000000 00
12 23 80000000 00
13 23 80000000 00
14 23 80000001 00
15 23 80000001 00
16 23 80000001 00
17 23 80000001 00
18 23 fffffffe 00
19 23 fffffffe 00
1a 23 fffffffe 00
1b 23 fffffffe 00
1c 23 ffffffff 00
1d 23 ffffffff 00
1e 23 ffffffff 00
1f 23 ffffffff 00
20 23 ffffffff 10
21 23 ffffffff 10
22 23 ffffffff 10
23 23 ffffffff 10
24 23 00000000 01
25 23 00000000 01
26 23 00000000 01
27 23 00000000 01
28 23 00000001 00
29 23 00000001 00
2a 23 00000001 00
2b 23 00000001 00
2c 23 7ffffffe 00
2d 23 7ffffffe 00
2e 23 7ffffffe 00
2f 23 7ffffffe 00
30 23 7fffffff 00
31 23 7fffffff 00
32 23 7fffffff 00
33 23 7fffffff 00
34 23 80000000 00
35 23 80000000 00
36 23 80000000 00
37 23 80000000 00
38 23 fffffffd 00
39 23 fffffffd 00
3a 23 fffffffd 00
3b 23 fffffffd 00
3c 23 fffffffe 00
3d 23 fffffffe 00
3e 23 fffffffe 00
3f 23 fffffffe 00
40 23 fffffffe 10
41 23 fffffffe 10
42 23 fffffffe 10
43 23 fffffffe 10
44 23 ffffffff 10
45 23 ffffffff 10
46 23 ffffffff 10
47 23 ffffffff 10
48 23 00000000 01
49 23 00000000 01
4a 23 00000000 01
4b 23 00000000 01
4c 23 7ffffffd 00
4d 23 7ffffffd 00
4e 23 7ffffffd 00
4f 23 7ffffffd 00
50 23 7ffffffe 00
51 23 7ffffffe 00
52 23 7ffffffe 00
53 23 7ffffffe 00
54 23 7fffffff 00
55 23 7fffffff 00
56 23 7fffffff 00
57 23 7fffffff 00
58 23 fffffffc 00
59 23 fffffffc 00
5a 23 fffffffc 00
5b 23 fffffffc 00
5c 23 fffffffd 00
5d 23 fffffffd 00
5e 23 fffffffd 00
5f 23 fffffffd 00
60 23 80000001 10
61 23 80000001 10
62 23 80000001 10
63 23 80000001 10
64 23 80000002 10
65 23 80000002 10
66 23 80000002 10
67 23 80000002 10
68 23 80000003 10
69 23 80000003 10
6a 23 80000003 10
6b 23 80000003 10
6c 23 00000000 01
6d 23 00000000 01
6e 23 00000000 01
6f 23 00000000 01
70 23 00000001 00
71 23 00000001 00
72 23 00000001 00
73 23 00000001 00
74 23 00000002 00
75 23 00000002 00
76 23 00000002 00
77 23 00000002 00
78 23 7fffffff 00
79 23 7fffffff 00
7a 23 7fffffff 00
7b 23 7fffffff 00
7c 23 80000000 00
7d 23 80000000 00
7e 23 80000000 00
7f 23 80000000 00
80 23 80000000 00
81 23 80000000 00
82 23 80000000 00
83 23 80000000 00
84 23 80000001 00
85 23 80000001 00
86 23 80000001 00
87 23 80000001 00
88 23 80000002 00
89 23 80000002 00
8a 23 80000002 00
8b 23 80000002 00
8c 23 ffffffff 00
8d 23 ffffffff 00
8e 23 ffffffff 00
8f 23 ffffffff 00
90 23 00000000 11
91 23 00000000 11
92 23 00000000 11
93 23 00000000 11
94 23 00000001 10
95 23 00000001 10
96 23 00000001 10
97 23 00000001 10
98 23 7ffffffe 10
99 23 7ffffffe 10
9a 23 7ffffffe 10
9b 23 7ffffffe 10
9c 23 7fffffff 10
9d 23 7fffffff 10
9e 23 7fffffff 10
9f 23 7fffffff 10
a0 23 80000001 00
a1 23 80000001 00
a2 23 80000001 00
a3 23 80000001 00
a4 23 80000002 00
a5 23 80000002 00
a6 23 80000002 00
a7 23 80000002 00
a8 23 80000003 00
a9 23 80000003 00
aa 23 80000003 00
ab 23 80000003 00
ac 23 00000000 11
ad 23 00000000 11
ae 23 00000000 11
af 23 00000000 11
b0 23 00000001 10
b1 23 00000001 10
b2 23 00000001 10
b3 23 00000001 10
b4 23 00000002 10
b5 23 00000002 10
b6 23 00000002 10
b7 23 00000002 10
b8 23 7fffffff 10
b9 23 7fffffff 10
ba 23 7fffffff 10
bb 23 7fffffff 10
bc 23 80000000 10
bd 23 80000000 10
be 23 80000000 10
bf 23 80000000 10
c0 23 fffffffe 00
c1 23 fffffffe 00
c2 23 fffffffe 00
c3 23 fffffffe 00
c4 23 ffffffff 00
c5 23 ffffffff 00
c6 23 ffffffff 00
c7 23 ffffffff 00
c8 23 00000000 11
c9 23 00000000 11
ca 23 00000000 11
cb 23 00000000 11
cc 23 7ffffffd 10
cd 23 7ffffffd 10
ce 23 7ffffffd 10
cf 23 7ffffffd 10
d0 23 7ffffffe 10
d1 23 7ffffffe 10
d2 23 7ffffffe 10
d3 23 7ffffffe 10
d4 23 7fffffff 10
d5 23 7fffffff 10
d6 23 7fffffff 10
d7 23 7fffffff 10
d8 23 fffffffc 10
d9 23 fffffffc 10
da 23 fffffffc 10
db 23 fffffffc 10
dc 23 fffffffd 10
dd 23 fffffffd 10
de 23 fffffffd 10
df 23 fffffffd 10
e0 23 ffffffff 00
e1 23 ffffffff 00
e2 23 ffffffff 00
e3 23 ffffffff 00
e4 23 00000000 11
e5 23 00000000 11
e6 23 00000000 11
e7 23 00000000 11
e8 23 00000001 10
e9 23 00000001 10
ea 23 00000001 10
eb 23 00000001 10
ec 23 7ffffffe 10
ed 23 7ffffffe 10
ee 23 7ffffffe 10
ef 23 7ffffffe 10
f0 23 7fffffff 10
f1 23 7fffffff 10
f2 23 7fffffff 10
f3 23 7fffffff 10
f4 23 80000000 10
f5 23 80000000 10
f6 23 80000000 10
f7 23 80000000 10
f8 23 fffffffd 10
f9 23 fffffffd 10
fa 23 fffffffd 10
fb 23 fffffffd 10
fc 23 fffffffe 10
fd 23 fffffffe 10
fe 23 fffffffe 10
ff 23 fffffffe 10
SUMC  ---Q---- CZ
00 24 00000000 01
01 24 00000000 01
02 24 00000000 01
03 24 00000000 01
04 24 00000001 00
05 24 00000001 00
06 24 00000001 00
07 24 00000001 00
08 24 00000002 00
09 24 00000002 00
0a 24 00000002 00
0b 24 00000002 00
0c 24 7fffffff 00
0d 24 7fffffff 00
0e 24 7fffffff 00
0f 24 7fffffff 00
10 24 80000000 00
11 24 80000000 00
12 24 80000000 00
13 24 80000000 00
14 24 80000001 00
15 24 80000001 00
16 24 80000001 00
17 24 80000001 00
18 24 fffffffe 00
19 24 fffffffe 00
1a 24 fffffffe 00
1b 24 fffffffe 00
1c 24 ffffffff 00
1d 24 ffffffff 00
1e 24 ffffffff 00
1f 24 ffffffff 00
20 24 00000001 00
21 24 00000001 00
22 24 ffffffff 00
23 24 ffffffff 00
24 24 00000002 00
25 24 00000002 00
26 24 00000000 01
27 24 00000000 01
28 24 00000003 00
29 24 00000003 00
2a 24 00000001 00
2b 24 00000001 00
2c 24 80000000 10
2d 24 80000000 10
2e 24 7ffffffe 00
2f 24 7ffffffe 00
30 24 80000001 00
31 24 80000001 00
32 24 7fffffff 10
33 24 7fffffff 10
34 24 80000002 00
35 24 80000002 00
36 24 80000000 00
37 24 80000000 00
38 24 ffffffff 00
39 24 ffffffff 00
3a 24 fffffffd 00
3b 24 fffffffd 00
3c 24 00000000 01
3d 24 00000000 01
3e 24 fffffffe 00
3f 24 fffffffe 00
40 24 00000002 00
41 24 00000002 00
42 24 fffffffe 00
43 24 fffffffe 00
44 24 00000003 00
45 24 00000003 00
46 24 ffffffff 00
47 24 ffffffff 00
48 24 00000004 00
49 24 00000004 00
4a 24 00000000 01
4b 24 00000000 01
4c 24 80000001 10
4d 24 80000001 10
4e 24 7ffffffd 00
4f 24 7ffffffd 00
50 24 80000002 00
51 24 80000002 00
52 24 7ffffffe 10
53 24 7ffffffe 10
54 24 80000003 00
55 24 80000003 00
56 24 7fffffff 10
57 24 7fffffff 10
58 24 00000000 01
59 24 00000000 01
5a 24 fffffffc 00
5b 24 fffffffc 00
5c 24 00000001 00
5d 24 00000001 00
5e 24 fffffffd 00
5f 24 fffffffd 00
60 24 7fffffff 00
61 24 7fffffff 00
62 24 80000001 00
63 24 80000001 00
64 24 80000000 10
65 24 80000000 10
66 24 80000002 00
67 24 80000002 00
68 24 80000001 10
69 24 80000001 10
6a 24 80000003 00
6b 24 80000003 00
6c 24 fffffffe 10
6d 24 fffffffe 10
6e 24 00000000 01
6f 24 00000000 01
70 24 ffffffff 00
71 24 ffffffff 00
72 24 00000001 10
73 24 00000001 10
74 24 00000000 01
75 24 00000000 01
76 24 00000002 10
77 24 00000002 10
78 24 7ffffffd 00
79 24 7ffffffd 00
7a 24 7fffffff 10
7b 24 7fffffff 10
7c 24 7ffffffe 00
7d 24 7ffffffe 00
7e 24 80000000 00
7f 24 80000000 00
80 24 80000000 00
81 24 80000000 00
82 24 80000000 10
83 24 80000000 10
84 24 80000001 00
85 24 80000001 00
86 24 80000001 10
87 24 80000001 10
88 24 80000002 00
89 24 80000002 00
8a 24 80000002 10
8b 24 80000002 10
8c 24 ffffffff 00
8d 24 ffffffff 00
8e 24 ffffffff 10
8f 24 ffffffff 10
90 24 00000000 11
91 24 00000000 11
92 24 00000000 01
93 24 00000000 01
94 24 00000001 10
95 24 00000001 10
96 24 00000001 00
97 24 00000001 00
98 24 7ffffffe 10
99 24 7ffffffe 10
9a 24 7ffffffe 00
9b 24 7ffffffe 00
9c 24 7fffffff 10
9d 24 7fffffff 10
9e 24 7fffffff 00
9f 24 7fffffff 00
a0 24 80000001 00
a1 24 80000001 00
a2 24 7fffffff 00
