ROR   ---Q---- CZ
cd 09 dfffffff 00
ce 09 dfffffff 00
cf 09 dfffffff 00
d0 09 20000000 10
d1 09 20000000 10
d2 09 20000000 10
d3 09 20000000 10
d4 09 60000000 10
d5 09 60000000 10
d6 09 60000000 10
d7 09 60000000 10
d8 09 bfffffff 10
d9 09 bfffffff 10
da 09 bfffffff 10
db 09 bfffffff 10
dc 09 ffffffff 10
dd 09 ffffffff 10
de 09 ffffffff 10
df 09 ffffffff 10
e0 09 00000000 01
e1 09 00000000 01
e2 09 00000000 01
e3 09 00000000 01
e4 09 80000000 00
e5 09 80000000 00
e6 09 80000000 00
e7 09 80000000 00
e8 09 00000001 00
e9 09 00000001 00
ea 09 00000001 00
eb 09 00000001 00
ec 09 bfffffff 00
ed 09 bfffffff 00
ee 09 bfffffff 00
ef 09 bfffffff 00
f0 09 40000000 10
f1 09 40000000 10
f2 09 40000000 10
f3 09 40000000 10
f4 09 c0000000 10
f5 09 c0000000 10
f6 09 c0000000 10
f7 09 c0000000 10
f8 09 7fffffff 10
f9 09 7fffffff 10
fa 09 7fffffff 10
fb 09 7fffffff 10
fc 09 ffffffff 10
fd 09 ffffffff 10
fe 09 ffffffff 10
ff 09 ffffffff 10
SHR   ---Q---- CZ
00 0a 00000000 01
01 0a 00000000 01
02 0a 00000000 01
03 0a 00000000 01
04 0a 00000001 10
05 0a 00000001 10
06 0a 00000001 10
07 0a 00000001 10
08 0a 00000002 00
09 0a 00000002 00
0a 0a 00000002 00
0b 0a 00000002 00
0c 0a 7fffffff 10
0d 0a 7fffffff 10
0e 0a 7fffffff 10
0f 0a 7fffffff 10
10 0a 80000000 00
11 0a 80000000 00
12 0a 80000000 00
13 0a 80000000 00
14 0a 80000001 10
15 0a 80000001 10
16 0a 80000001 10
17 0a 80000001 10
18 0a fffffffe 00
19 0a fffffffe 00
1a 0a fffffffe 00
1b 0a fffffffe 00
1c 0a ffffffff 10
1d 0a ffffffff 10
1e 0a ffffffff 10
1f 0a ffffffff 10
20 0a 00000000 01
21 0a 00000000 01
22 0a 00000000 01
23 0a 00000000 01
24 0a 00000000 11
25 0a 00000000 11
26 0a 00000000 11
27 0a 00000000 11
28 0a 00000001 00
29 0a 00000001 00
2a 0a 00000001 00
2b 0a 00000001 00
2c 0a 3fffffff 10
2d 0a 3fffffff 10
2e 0a 3fffffff 10
2f 0a 3fffffff 10
30 0a 40000000 00
31 0a 40000000 00
32 0a 40000000 00
33 0a 40000000 00
34 0a 40000000 10
35 0a 40000000 10
36 0a 40000000 10
37 0a 40000000 10
38 0a 7fffffff 00
39 0a 7fffffff 00
3a 0a 7fffffff 00
3b 0a 7fffffff 00
3c 0a 7fffffff 10
3d 0a 7fffffff 10
3e 0a 7fffffff 10
3f 0a 7fffffff 10
40 0a 00000000 01
41 0a 00000000 01
42 0a 00000000 01
43 0a 00000000 01
44 0a 00000000 11
45 0a 00000000 11
46 0a 00000000 11
47 0a 00000000 11
48 0a 00000000 01
49 0a 00000000 01
4a 0a 00000000 01
4b 0a 00000000 01
4c 0a 1fffffff 10
4d 0a 1fffffff 10
4e 0a 1fffffff 10
4f 0a 1fffffff 10
50 0a 20000000 00
51 0a 20000000 00
52 0a 20000000 00
53 0a 20000000 00
54 0a 20000000 10
55 0a 20000000 10
56 0a 20000000 10
57 0a 20000000 10
58 0a 3fffffff 00
59 0a 3fffffff 00
5a 0a 3fffffff 00
5b 0a 3fffffff 00
5c 0a 3fffffff 10
5d 0a 3fffffff 10
5e 0a 3fffffff 10
5f 0a 3fffffff 10
60 0a 00000000 01
61 0a 00000000 01
62 0a 00000000 01
63 0a 00000000 01
64 0a 00000000 11
65 0a 00000000 11
66 0a 00000000 11
67 0a 00000000 11
68 0a 00000000 01
69 0a 00000000 01
6a 0a 00000000 01
6b 0a 00000000 01
6c 0a 00000000 11
6d 0a 00000000 11
6e 0a 00000000 11
6f 0a 00000000 11
70 0a 00000001 00
71 0a 00000001 00
72 0a 00000001 00
73 0a 00000001 00
74 0a 00000001 10
75 0a 00000001 10
76 0a 00000001 10
77 0a 00000001 10
78 0a 00000001 00
79 0a 00000001 00
7a 0a 00000001 00
7b 0a 00000001 00
7c 0a 00000001 10
7d 0a 00000001 10
7e 0a 00000001 10
7f 0a 00000001 10
80 0a 00000000 01
81 0a 00000000 01
82 0a 00000000 01
83 0a 00000000 01
84 0a 00000001 10
85 0a 00000001 10
86 0a 00000001 10
87 0a 00000001 10
88 0a 00000002 00
89 0a 00000002 00
8a 0a 00000002 00
8b 0a 00000002 00
8c 0a 7fffffff 10
8d 0a 7fffffff 10
8e 0a 7fffffff 10
8f 0a 7fffffff 10
90 0a 80000000 00
91 0a 80000000 00
92 0a 80000000 00
93 0a 80000000 00
94 0a 80000001 10
95 0a 80000001 10
96 0a 80000001 10
97 0a 80000001 10
98 0a fffffffe 00
99 0a fffffffe 00
9a 0a fffffffe 00
9b 0a fffffffe 00
9c 0a ffffffff 10
9d 0a ffffffff 10
9e 0a ffffffff 10
9f 0a ffffffff 10
a0 0a 00000000 01
a1 0a 00000000 01
a2 0a 00000000 01
a3 0a 00000000 01
a4 0a 00000000 11
a5 0a 00000000 11
a6 0a 00000000 11
a7 0a 00000000 11
a8 0a 00000001 00
a9 0a 00000001 00
aa 0a 00000001 00
ab 0a 00000001 00
ac 0a 3fffffff 10
ad 0a 3fffffff 10
ae 0a 3fffffff 10
af 0a 3fffffff 10
b0 0a 40000000 00
b1 0a 40000000 00
b2 0a 40000000 00
b3 0a 40000000 00
b4 0a 40000000 10
b5 0a 40000000 10
b6 0a 40000000 10
b7 0a 40000000 10
b8 0a 7fffffff 00
b9 0a 7fffffff 00
ba 0a 7fffffff 00
bb 0a 7fffffff 00
bc 0a 7fffffff 10
bd 0a 7fffffff 10
be 0a 7fffffff 10
bf 0a 7fffffff 10
c0 0a 00000000 01
c1 0a 00000000 01
c2 0a 00000000 01
c3 0a 00000000 01
c4 0a 00000000 11
c5 0a 00000000 11
c6 0a 00000000 11
c7 0a 00000000 11
c8 0a 00000000 01
c9 0a 00000000 01
ca 0a 00000000 01
cb 0a 00000000 01
cc 0a 00000001 10
cd 0a 00000001 10
ce 0a 00000001 10
cf 0a 00000001 10
d0 0a 00000002 00
d1 0a 00000002 00
d2 0a 00000002 00
d3 0a 00000002 00
d4 0a 00000002 10
d5 0a 00000002 10
d6 0a 00000002 10
d7 0a 00000002 10
d8 0a 00000003 00
d9 0a 00000003 00
da 0a 00000003 00
db 0a 00000003 00
dc 0a 00000003 10
dd 0a 00000003 10
de 0a 00000003 10
df 0a 00000003 10
e0 0a 00000000 01
e1 0a 00000000 01
e2 0a 00000000 01
e3 0a 00000000 01
e4 0a 00000000 11
e5 0a 00000000 11
e6 0a 00000000 11
e7 0a 00000000 11
e8 0a 00000000 01
e9 0a 00000000 01
ea 0a 00000000 01
eb 0a 00000000 01
ec 0a 00000000 11
ed 0a 00000000 11
ee 0a 00000000 11
ef 0a 00000000 11
f0 0a 00000001 00
f1 0a 00000001 00
